movieId,id,title,vote_average,vote_count,runtime,original_language,overview,popularity,genres,runtime_buckets,popularity_norm,vote_average_norm,vote_count_norm,overview_length
21,8012,Get Shorty,6.464,911,105,en,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",12.3,"Comedy, Thriller, Crime",medium,0.038982068248605645,0.7249074800942021,0.026409624583272936,69
22,1710,Copycat,6.501,846,124,en,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,15.805,"Thriller, Crime, Mystery",long,0.05066002971966229,0.7290568576875631,0.024525293520800115,23
23,9691,Assassins,6.48,1406,132,en,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",16.9,"Action, Adventure, Crime, Thriller",long,0.05430835149164717,0.7267018055399799,0.040759530366719816,76
24,12665,Powder,6.911,570,111,en,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",32.759,"Drama, Fantasy, Science Fiction, Thriller",medium,0.10714737887238537,0.7750364472356174,0.01652413393245398,55
25,451,Leaving Las Vegas,7.259,1278,111,en,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",22.61,"Drama, Romance",medium,0.07333293351724873,0.814063025681283,0.03704884765908103,36
26,16420,Othello,6.52,125,123,en,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,10.899,Drama,long,0.03431421546088799,0.7311876191544241,0.003623713581678504,27
27,9263,Now and Then,6.891,385,100,en,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",15.266,"Comedy, Drama, Romance",medium,0.04886418913966243,0.7727935404283952,0.011161037831569793,41
28,17015,Persuasion,7.064,118,107,en,"Anne Elliot, the daughter of a financially troubled aristocratic family, is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful, and perhaps still in love with Anne.",14.765,"Drama, Romance",medium,0.0471949569864529,0.7921946843108669,0.003420785621104508,64
29,902,The City of Lost Children,7.278,975,108,fr,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",15.782,"Fantasy, Science Fiction, Adventure",medium,0.05058339830344709,0.816193787148144,0.028264965937092334,19
30,37557,Shanghai Triad,6.77,76,108,zh,"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.",10.699,"Drama, Crime",medium,0.03364785531988619,0.7592239542447011,0.0022032178576605306,45
31,9909,Dangerous Minds,6.956,1041,99,en,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",17.331,Drama,medium,0.05574435759550606,0.7800829875518673,0.030178286708218583,74
32,63,Twelve Monkeys,7.6,7677,129,en,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",33.942,"Science Fiction, Thriller, Mystery",long,0.11108889910641105,0.8523045867444208,0.222553993332367,102
34,9598,Babe,6.192,2657,91,en,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",25.864,"Fantasy, Drama, Comedy, Family",medium,0.08417461301134811,0.6944039475159808,0.07702565589215829,78
36,687,Dead Man Walking,7.344,1225,122,en,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,22.679,Drama,long,0.07356282776589435,0.8235953796119772,0.03551239310044934,28
38,33689,It Takes Two,6.466,817,101,en,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",17.175,"Comedy, Family, Romance",medium,0.05522459668552466,0.7251317707749243,0.023684591969850705,37
39,9603,Clueless,7.273,4011,97,en,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",34.275,"Comedy, Romance",medium,0.11219838874117906,0.8156330604463384,0.11627772140889985,73
40,34615,"Cry, the Beloved Country",6.7,21,106,en,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,2.977,Drama,medium,0.007919690275806463,0.7513737804194236,0.0006087838817219887,19
41,31174,Richard III,6.719,155,104,en,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.",8.96,"Drama, War",medium,0.02785385389387549,0.7535045418862847,0.004493404841281345,71
42,11443,Dead Presidents,6.663,264,119,en,On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!,17.014,"Action, Crime",medium,0.054688176772018204,0.7472244028260626,0.0076532830845050005,59
43,35196,Restoration,6.118,102,117,en,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",10.861,"Drama, Romance",medium,0.03418760703409766,0.6861051923292588,0.002956950282649659,134
44,9312,Mortal Kombat,5.838,2073,101,en,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",41.919,"Action, Fantasy",medium,0.13766667333026808,0.6547044970281485,0.06009566603855631,66
45,577,To Die For,6.579,703,106,en,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",14.447,"Drama, Comedy, Crime",medium,0.04613544436226003,0.7378041942357295,0.020379765183359908,66
46,11861,How to Make an American Quilt,6.373,166,116,en,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",15.326,"Drama, Romance",medium,0.04906409718196297,0.7147022541213413,0.0048122916364690535,79
47,807,Se7en,8.368,19403,127,en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",53.521,"Crime, Mystery, Thriller",long,0.17632222510978285,0.9384322081417518,0.5624873170024641,69
48,10530,Pocahontas,6.926,5306,81,en,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",37.713,"Adventure, Animation, Family, Romance",medium,0.12365311956500011,0.776718627341034,0.15381939411508913,21
49,8391,When Night Is Falling,6.175,63,96,en,"A prudish woman working on tenure as a literacy professor at a large urban university finds herself attracted to a free-spirited, liberal woman who works at a local carnival.",11.88,"Drama, Romance",medium,0.03758271195250185,0.6924974767298419,0.0018263516451659662,29
50,629,The Usual Suspects,8.195,9604,106,en,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",30.858,"Drama, Crime, Thriller",medium,0.10081362573216321,0.91903106425928,0.2784171619075228,67
52,11448,Mighty Aphrodite,6.727,591,95,en,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",14.266,"Comedy, Romance",medium,0.0455323884346534,0.7544017046091736,0.017132917814175967,74
53,49133,Lamerica,7.2,50,112,it,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",4.234,Drama,medium,0.012107763762002812,0.8074464505999777,0.0014494854326714017,86
54,26441,The Big Green,5.497,173,100,en,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",9.706,"Family, Comedy",medium,0.03033937721981222,0.6164629359650107,0.00501521959704305,57
55,97406,Georgia,5.806,36,115,en,"Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing.",3.457,Drama,medium,0.009518954614210796,0.651115846136593,0.0010436295115234093,70
57,9089,Home for the Holidays,6.3,159,103,en,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her unhinged family.",11.816,"Comedy, Drama, Romance",medium,0.03736947670738128,0.7065156442749804,0.004609363675895057,34
58,11010,The Postman,7.942,1057,109,it,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,11.643,"Comedy, Drama, Romance",medium,0.03679307518541471,0.8906582931479198,0.03064212204667343,22
60,11359,The Indian in the Cupboard,6.404,565,96,en,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,15.524,"Adventure, Family, Fantasy",medium,0.049723793721554756,0.7181787596725356,0.01637918538918684,28
61,17182,Eye for an Eye,6.075,315,101,en,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",15.525,Thriller,medium,0.04972712552225977,0.6812829426937311,0.00913175822582983,37
62,2054,Mr. Holland's Opus,6.972,370,137,en,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",15.053,"Drama, Music, Family",long,0.0481545155894955,0.781877312997645,0.010726192201768372,56
63,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.969,1151,89,en,"When Ashtray moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog, who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",44.01,Comedy,medium,0.14463346860444196,0.7815408769765617,0.03336715466009567,64
64,19760,Two If by Sea,4.8,75,96,en,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.",5.302,"Comedy, Romance",medium,0.015666126914952457,0.5382976337333184,0.0021742281490071025,69
65,9536,Bio-Dome,4.538,327,95,en,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.",10.093,Comedy,medium,0.03162878409265072,0.5089155545587081,0.009479634729670967,66
66,11525,Lawnmower Man 2: Beyond Cyberspace,2.909,126,92,en,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",11.6,"Science Fiction, Horror, Action, Thriller",medium,0.03664980775509932,0.32623079511046316,0.0036527032903319323,54
68,4482,French Twist,6.053,281,95,fr,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",14.176,"Comedy, Romance",medium,0.045232526371202585,0.6788157452057867,0.008146108131613277,27
69,10634,Friday,7.148,1594,91,en,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",26.455,Comedy,medium,0.08614370722800845,0.8016148929011999,0.04620959559356429,26
70,755,From Dusk Till Dawn,7.0,5407,108,en,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",29.005,"Horror, Action, Thriller, Crime",medium,0.09463979902578147,0.785017382527756,0.15674735468908538,63
71,11859,Fair Game,4.985,261,91,en,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",15.823,Action,medium,0.050720002132352456,0.5590445217001234,0.0075663139585447165,22
72,28387,Kicking and Screaming,6.198,179,96,en,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",9.713,"Comedy, Drama, Romance",medium,0.030362699824747284,0.6950768195581474,0.005189157848963618,80
73,48750,Les Miserables,6.905,58,175,fr,"In France during World War II, a poor and illiterate man, Henri Fortin (Jean-Paul Belmondo), is introduced to Victor Hugo's classic novel Les Misérables and begins to see parallels between the book and his own life.",8.316,Drama,long,0.025708174239849675,0.7743635751934508,0.001681403101898826,36
74,20927,Bed of Roses,5.816,106,87,en,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",7.108,"Drama, Romance",medium,0.021683358988198762,0.6522372995402042,0.0030729091172633713,44
75,36929,Big Bully,4.58,69,90,en,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",10.225,Comedy,medium,0.03206858178571191,0.5136256588538747,0.002000289897086534,31
76,9102,Screamers,6.191,486,108,en,"SIRIUS 6B, Year 2078. On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",11.519,"Horror, Science Fiction",medium,0.03637993189799359,0.6942918021756196,0.014088998405566024,46
77,124626,Nico Icon,6.9,8,70,en,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.",0.949,Documentary,medium,0.0011627984460481511,0.7738028484916453,0.00023191766922742426,54
78,27526,The Crossing Guard,6.043,234,111,en,"After his daughter died in a hit and run, Freddy Gale has waited six years for John Booth, the man responsible, to be released from prison. On the day of release, Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage, and even finds romance. Gale, whose life is spiraling down because of his obsession towards Booth, will bring himself on the very edge of sanity. At he end of the week, both men will find themselves on a collision course with each other.",11.581,"Drama, Thriller",medium,0.03658650354170415,0.6776942918021757,0.00678359182490216,101
79,9623,The Juror,5.53,335,118,en,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.",13.346,Thriller,medium,0.04246713178604509,0.6201637321969272,0.009711552398898392,77
80,46785,The White Balloon,7.532,77,85,fa,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,5.69,Drama,medium,0.016958865588495964,0.8446787035998654,0.0022322075663139583,24
81,400,Things to Do in Denver When You're Dead,6.496,338,116,en,Five different criminals face imminent death after botching a job quite badly.,19.11,"Drama, Crime",medium,0.06167163104971713,0.7284961309857576,0.009798521524858675,12
82,880,Antonia's Line,7.028,109,102,nl,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",6.676,"Drama, Comedy",medium,0.020244021083634864,0.7881574520578669,0.0031598782432236557,65
83,146599,Once Upon a Time... When We Were Colored,5.3,3,115,en,"This film relates the story of a tightly connected Afro-American community informally called Colored Town where the inhabitants live and depend on each other in a world where racist oppression is everywhere, as told by a boy called Cliff who spent his childhood there. Despite this, we see the life of the community in all its joys and sorrows, of those that live there while others decide to leave for a better life north. For those remaining, things come to a serious situation when one prominent businessman is being muscled out by a white competitor using racist intimidation. In response, the community must make the decision of whether to submit meekly like they always have, or finally fight for their rights.",3.615,"Romance, Drama",medium,0.010045379125602225,0.5943703039138724,8.69691259602841e-05,121
85,8447,Angels and Insects,6.5,43,118,en,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",3.878,"Drama, Romance",medium,0.010921642711019598,0.728944712347202,0.0012465574720974054,65
86,10534,White Squall,6.291,318,129,en,"In 1960, a hardy group of prep school students boards an old-fashioned sailing ship. With Capt. Christopher Sheldon at the helm, the oceangoing voyage is intended to teach the boys fortitude and discipline. But the youthful crew are about to get some unexpected instruction in survival when they get caught in the clutches of a white squall storm.",12.226,"Drama, Adventure",long,0.03873551499643498,0.7055063362117304,0.009218727351790114,58
